,logFC,t,P.Value,adj.P.Val,B,sig
HSD17B4,0.127948396903083,2.07142169249061,0.040681547712517,0.0710475053841875,-4.64399396392205,Not
HOXB9,-0.071238149179603,-2.07140072343655,0.0406835443137582,0.0710475053841875,-4.64403553377378,Not
ADCY9,-0.102100334268854,-2.07129270180427,0.0406938310964793,0.0710524849183184,-4.64424967381838,Not
CFLAR,0.132591397510319,2.0703358592291,0.0407850477976131,0.071198742556447,-4.64614605036595,Not
PACSIN3,-0.131208377508551,-2.06591315904808,0.0412089540201129,0.0719256191079815,-4.65490093467697,Not
ZMAT3,-0.117761690618078,-2.06482541489321,0.0413137898087358,0.0720954301337252,-4.65705151186971,Not
VEGFA,-0.191171577378165,-2.06434691114772,0.041359980042147,0.0721628572727327,-4.65799722953952,Not
PID1,0.192169240459404,2.06398869088814,0.041394588259352,0.0722100557514363,-4.65870508569807,Not
SMAD6,0.137321679574641,2.06292940773508,0.0414970727553312,0.0723756209618443,-4.66079760356454,Not
PTK7,-0.101817562516902,-2.06217240367561,0.0415704454602253,0.0724903607331958,-4.66229238853406,Not
BUB1B,0.310378603780083,2.06107721174509,0.0416767941470987,0.0726625515179119,-4.66445406437077,Not
JAM3,-0.159997000319278,-2.0596845656445,0.0418123643252884,0.072885617200375,-4.66720131914433,Not
GALNT8,-0.0922140408083809,-2.05842774399635,0.0419350370719512,0.0730861233375097,-4.66967916188602,Not
TALDO1,0.110771565221977,2.05782051438525,0.0419944165990161,0.0731762664150615,-4.67087582344264,Not
PDK3,0.0749632454145379,2.05760101176902,0.0420158989772061,0.073197500377688,-4.6713083148528,Not
BTG1,0.158747946614652,2.05753948654636,0.042021922046044,0.073197500377688,-4.67142953186434,Not
TSPAN32,-0.106944137121024,-2.0569872116483,0.0420760206854577,0.0732783768307334,-4.67251747404571,Not
NRIP2,0.20260696882843,2.05643262119692,0.0421304062589635,0.0733597234348861,-4.67360970609177,Not
ACTN4,-0.227070686457122,-2.05601251969617,0.0421716433845477,0.0734181497873453,-4.67443688917123,Not
ENPP1,-0.109183031526022,-2.05557023300853,0.0422150956135732,0.0734804105069772,-4.67530758626883,Not
PLCB3,-0.138087189324041,-2.05504994807754,0.0422662598914511,0.0735560698456942,-4.67633161111266,Not
PPP1R7,0.0990586932301554,2.05474758871684,0.0422960180234349,0.0735944552498078,-4.67692660475163,Not
CLPB,-0.110757901304486,-2.05450894710358,0.0423195177568475,0.0736219391378908,-4.67739615517349,Not
APOD,-0.632987173768218,-2.05338178290522,0.0424306642942667,0.0738018616665476,-4.67961327820987,Not
HPCAL4,-0.189312129242287,-2.05300974343311,0.0424674049781451,0.0738423962053889,-4.6803448300154,Not
SPAG9,0.0925431699414085,2.05298931320352,0.0424694233512785,0.0738423962053889,-4.68038499900813,Not
SNRPD3,0.121978291127609,2.05243894220163,0.0425238273709796,0.0739235390862436,-4.68146697449398,Not
CCR7,-0.1628049442466,-2.05163898976888,0.042603008982958,0.0740477180504087,-4.68303912442874,Not
DEGS1,0.12134248465774,2.05145629368502,0.0426211104915183,0.0740657086482904,-4.6833980983427,Not
ANPEP,-0.451137740166272,-2.04998187757011,0.0427674369537535,0.0743064777327397,-4.68629405140671,Not
CLK2,0.127424680404097,2.04972711309401,0.0427927642956816,0.0743369670259105,-4.68679424829677,Not
RPL8,0.192603410892438,2.04904727502398,0.0428604131491106,0.0744336494050496,-4.68812874049413,Not
UBA2,0.111630323524247,2.04901126649712,0.0428639988149841,0.0744336494050496,-4.68819941223159,Not
PHF20L1,0.0659107701766626,2.04840524150149,0.0429243843045379,0.0745249666450152,-4.68938864817728,Not
EIF4A3,0.109718781516513,2.04788240040271,0.0429765397565252,0.0746019643802642,-4.69041438641491,Not
ATP1B1,-0.211573449953278,-2.04709710005888,0.0430549785819681,0.0747245505501793,-4.69195457652959,Not
RASGRP3,0.231949511513241,2.04592398603178,0.0431723822135991,0.0749147057260128,-4.69425435832146,Not
SPINT1,-0.197114949508432,-2.04500056276087,0.0432649899577762,0.0750617727008913,-4.69606378675183,Not
INTS1,-0.113770453301544,-2.04437872498135,0.0433274483048774,0.0751564886551839,-4.69728183903133,Not
GAL,-0.118932521188913,-2.04381949532721,0.0433836841401666,0.0752403785196792,-4.6983769622133,Not
ACOX1,-0.143277995170217,-2.04341745635278,0.0434241515819314,0.0752968957570199,-4.69916409220194,Not
ARL5A,-0.185195450122464,-2.04303753817322,0.0434624221492606,0.0753495838277093,-4.69990778145368,Not
ADCK2,-0.128164214059176,-2.04238379731865,0.0435283435090664,0.0754501814933137,-4.70118717870041,Not
EFCAB2,0.173621125795522,2.04141895164082,0.0436257922209013,0.0756053809327046,-4.70307472850257,Not
ZNF140,-0.10356646114115,-2.04106108588345,0.0436619838647275,0.0756543821960718,-4.70377461971156,Not
PTMS,-0.208394978975552,-2.04091531079729,0.0436767337431804,0.0756662196609558,-4.70405968485961,Not
LDHB,-0.179842591294873,-2.0403196708907,0.0437370463788183,0.0757536575943184,-4.70522427097518,Not
ERN2,-0.0963890213545993,-2.04026031840911,0.0437430601303316,0.0757536575943184,-4.70534029881425,Not
SBNO2,-0.0920047388439755,-2.04004347356396,0.0437650374458781,0.0757686515942257,-4.70576418105606,Not
SMARCAL1,0.122965761116043,2.04001843171052,0.0437675760569408,0.0757686515942257,-4.7058131294859,Not
RIC8A,0.0940203270807274,2.03808675192701,0.0439637798599333,0.0760945264157803,-4.70958724024449,Not
MMP7,0.689572816839451,2.03773603023471,0.0439994838566969,0.0761299412528743,-4.71027212441684,Not
NAV2,-0.274381686603651,-2.03770059275377,0.0440030928257375,0.0761299412528743,-4.71034132014137,Not
SYNJ2,-0.0912761987830795,-2.03765102739832,0.0440081410088821,0.0761299412528743,-4.71043810028441,Not
ITIH2,-0.348793309398909,-2.03726702744381,0.0440472678281289,0.076183835541285,-4.71118781570329,Not
PTBP2,-0.176423501093367,-2.03691793742008,0.0440828634089062,0.076231603824739,-4.71186926004108,Not
TDRKH,-0.150419562075124,-2.03646983245968,0.0441285913014656,0.0762968732543522,-4.71274382896091,Not
RBBP7,-0.0892690181409712,-2.03590903879812,0.0441858759515234,0.0763820967063599,-4.7138380821169,Not
GPS1,-0.171661448283698,-2.03468039639297,0.0443116033036769,0.0765855816910718,-4.71623450538029,Not
