,logFC,t,P.Value,adj.P.Val,B,sig
EGR1,-1.12369784057819,-6.21221193814627,9.76289655879433e-09,0.000000276018460106031,9.66407387510039,Down
HTR2B,1.50771017403838,6.20147979889313,1.02676434653253e-08,0.000000288581179278378,9.61533355102865,Up
AFM,-1.16945468354406,-6.15335080210726,1.28660433014202e-08,0.000000350278945266016,9.39724224451213,Down
RNF186,-1.06217962209916,-6.13343055260804,1.41220631375981e-08,0.000000380142071388414,9.30721147485196,Down
GBA3,-1.1531186727864,-6.08668319145163,1.75631732048325e-08,0.000000457312488134548,9.09648315561427,Down
PBLD,-1.07532303060325,-6.07621824158751,1.84399472510505e-08,0.000000473688537449028,9.04941559195876,Down
TGFBI,1.27849066987441,6.00419418523687,2.57587349300317e-08,0.000000621592098463088,8.72654982331599,Up
PLAC8,1.15655284715582,5.91446217058157,3.89649187911201e-08,0.000000865927358064986,8.32697603744425,Up
FN1,1.11509681310837,5.91278938200864,3.92656513583979e-08,0.00000086666154092881,8.31955584027812,Up
HMGCS2,-1.14020546074246,-5.89226381119128,4.31467248187846e-08,0.000000934936109811951,8.22859453683105,Down
FTCD,-1.11962995218307,-5.87119530009991,4.75221981602675e-08,0.000001006922673214,8.13539437223003,Down
PCK1,-1.54881796559854,-5.84532135708947,5.34954159503038e-08,0.00000108766424430022,8.021170093533,Down
CSTA,1.13114874992405,5.82819359605568,5.78490355096889e-08,0.00000115408221989684,7.94569972858097,Up
PRODH2,-1.12940654406204,-5.79763100150079,6.6498415669836e-08,0.00000128881490537666,7.81131575152362,Down
TAGLN,1.0616066216695,5.78135173979104,7.16115315466772e-08,0.00000136318684354591,7.73988561611168,Up
SERPINA6,-1.15136318245037,-5.76658602891418,7.65818788866062e-08,0.00000143212609518671,7.67518736317405,Down
SLC27A2,-1.40774716544023,-5.68430394972574,0.000000111138713480761,0.00000193450190532268,7.31625562444625,Down
LYZ,1.42689633349274,5.64802763637573,0.000000130861472947838,0.00000219851264411328,7.15888487690439,Up
ALDH6A1,-1.09407728890572,-5.64251517709474,0.000000134144563726233,0.00000223324991457818,7.135018648414,Down
C1QB,1.6221339793194,5.61453284307049,0.000000152096499948216,0.00000245465864876887,7.01406340997985,Up
IGF1,-1.09600881007269,-5.6120940877491,0.000000153768270346772,0.00000246132259871651,7.00353720159963,Down
XPNPEP2,-1.40185857541569,-5.59212825605758,0.000000168149455326738,0.00000261699706042722,6.91745390287878,Down
FABP1,-1.3855010274039,-5.57343210712176,0.000000182806784247317,0.00000279440208214687,6.83699686909884,Down
CD36,1.21259833493227,5.55979743371685,0.000000194278324049842,0.00000291447985026733,6.77841459371463,Up
SLC17A1,-1.18708436410786,-5.49318395544108,0.000000261270292606475,0.00000368788613906569,6.49334720018322,Down
COL1A2,1.4340205092397,5.43113230111235,0.00000034374125736775,0.00000457491846156854,6.22953228185464,Up
GSTA1,-1.63514199768023,-5.42765636763416,0.000000349047868689301,0.00000462621558002075,6.21480425809656,Down
SLC13A3,-1.14200992357829,-5.3625668643522,0.000000464584633191783,0.00000576567630490997,5.94000420451603,Down
FBP1,-1.09570210304171,-5.35966584799984,0.000000470523479756437,0.00000583180593067771,5.92780068258942,Down
HAO2,-1.40449124321822,-5.34890721956647,0.000000493203136519716,0.00000605012730755123,5.88257624756264,Down
MS4A6A,1.01382419686408,5.32928084039473,0.000000537360909598592,0.00000649180891545404,5.80021097153678,Up
GLYAT,-1.20063995652809,-5.30575482402838,0.000000595402386940887,0.00000704166486337514,5.70171161835871,Down
UPB1,-1.15192060756372,-5.28714216988434,0.000000645621682316343,0.000007542250362121,5.62396350912371,Down
SDC1,-1.01995021712674,-5.27977508427075,0.000000666622032789379,0.00000767967502016377,5.59323408581224,Down
HPD,-1.63880925558691,-5.24566816816085,0.000000772865755194979,0.00000854803837574447,5.45129594029478,Down
GDF15,-1.14220361595955,-5.19210324331218,0.00000097390642841942,0.0000101379627777516,5.2294805911894,Down
ECM1,1.2211899033221,5.1560471606622,0.00000113708806469778,0.0000114741431322619,5.08093531933029,Up
BHMT2,-1.0354172282227,-5.07311746665048,0.00000162015943142839,0.0000149154561914545,4.74165302937898,Down
APOM,-1.19363616393297,-5.06950057958397,0.00000164525313430627,0.0000150974707273205,4.72693181777213,Down
PAH,-1.26977979083062,-5.03912535523288,0.00000187148384179091,0.0000166981748861499,4.60355475615689,Down
CYP4F2,-1.13025327222028,-5.03559978217215,0.00000189962702957352,0.0000168340792289485,4.58926422374604,Down
DPYS,-1.32730026638321,-5.01819570032602,0.00000204470720294509,0.0000178651808371695,4.51880904528433,Down
COL6A3,1.44442182286228,4.89373552293741,0.00000344654976168644,0.0000267517466548434,4.0194105359444,Up
GATM,-1.00114619332942,-4.88614894247929,0.00000355714811093251,0.0000273042980168799,3.98922468067059,Down
SLC22A6,-1.19224569554486,-4.88283439727502,0.00000360654375529439,0.0000276154904852509,3.97604593263801,Down
