sample,ALB,CSF1R,EGF,FN1,HRG,IGF1,ITGB2,KNG1,PLG,TYROBP
GSM2642357,6.538209294,10.07002326,7.233358983,9.425163834,6.627202341,7.007504893,9.174726761,8.247737097,9.17947098,11.06739379
GSM2642358,4.554542878,9.739419592,6.398208472,8.975161674,6.207535099,6.948348598,9.187057879,6.955091123,7.138056922,10.46754866
GSM2642359,7.016740687,9.253138104,6.308175058,9.344170504,6.235724197,7.476449223,8.554080395,6.694158215,7.234201482,9.221625646
GSM2642360,5.996764073,9.179427773,6.882173479,9.915024782,6.353644571,7.966753018,8.848439019,6.367872923,7.604683775,9.5327231
GSM2810679,8.063375343,8.013740022,7.046510481,7.444231815,7.2432313,7.863735104,8.026723638,7.532302822,9.497414538,8.499704183
GSM2810680,8.049014082,7.315140838,7.432924089,7.896791969,8.503779074,7.531138495,6.224223619,7.989928604,11.17184151,7.182694446
GSM2810681,6.428125298,8.301467543,6.351289491,7.734703223,7.238754832,8.897186887,7.423535823,6.915752672,9.468902687,8.982405054
GSM2810682,4.400926568,9.87446077,6.436600446,7.217931085,6.019868108,7.791033694,9.564031082,6.062579588,5.867005411,10.3888458
GSM2810683,5.993177508,8.75386909,6.578276569,8.222009628,6.256810449,7.270441814,8.427930482,6.582782223,7.204025758,8.942369818
GSM2810684,5.3124738,7.679022967,6.319902131,7.637240834,6.883030284,7.308333132,6.879580773,6.786784462,8.559824586,7.908950143
GSM2810685,4.544868658,8.360422287,5.520289095,8.507619893,6.262899701,7.748185043,9.859023722,5.955442469,6.478042978,11.29092431
GSM2810686,4.313182462,9.14380743,6.793620739,9.727015983,7.166361086,6.85393259,8.676814647,8.202873405,5.794996519,8.965320601
GSM2810687,7.918678839,7.585479266,6.638403675,8.287487583,7.456429671,7.026106663,6.860444562,7.687982272,9.068643521,7.691614831
GSM2810688,4.241753909,10.04554052,5.781540477,10.34990761,6.370734287,6.633073423,9.706101918,6.212971573,6.201474315,10.42298086
GSM2810689,6.570163125,9.119137093,6.665837716,8.151393779,6.586947298,7.663002776,8.653376616,7.175963214,8.222503058,9.354055742
GSM2810690,9.665923731,8.430547303,8.389337215,8.495514239,8.147160839,8.462694318,8.171347623,9.470443255,10.22226482,8.819153074
GSM2810691,7.22870897,8.951345611,7.743142551,9.141038387,7.313438697,7.834756318,8.888545949,8.137013402,11.03241009,9.054736375
GSM2810692,5.760465288,8.455165338,5.423865399,9.486742686,6.130523078,6.954574499,7.88820482,6.473807774,6.593052899,8.652242511
GSM2810693,7.941269616,8.436356593,8.097174191,8.299714433,6.839468351,7.084248659,7.750623482,7.479603602,8.84417784,8.761490965
GSM2810694,6.839934958,8.469081258,6.457542898,8.467448957,6.568043647,7.787704022,8.277181402,6.556553184,7.812389962,8.896438751
GSM2810695,6.515060608,10.14198167,7.261529561,9.536081275,6.744955385,7.004420768,9.205203184,8.25550379,9.253210506,11.14261689
GSM2810696,4.572420206,9.782910193,6.449836022,8.978696416,6.192840476,6.942605874,9.225514262,7.051597256,7.136321316,10.51544085
GSM2810697,7.031849496,9.283665338,6.347075902,9.404361559,6.267286015,7.497508544,8.568088918,6.754662263,7.234553801,9.210287487
GSM2810698,6.008364448,9.196839746,6.919244659,10.057548,6.344759047,7.986804785,8.859769896,6.406407245,7.608062873,9.541408229
GSM2810699,6.425740477,7.890330598,5.65279276,7.745063794,6.56230284,7.794519253,7.436883295,6.521050586,8.274626329,7.911693564
GSM2810700,8.545425778,7.83560442,9.107058027,8.350272135,8.650769883,8.563890102,6.965646738,9.286314856,10.66370282,7.630348003
GSM2810701,6.022810095,8.058229715,6.876271448,7.678292671,6.826065725,9.267916006,7.550545341,6.943028407,8.995958726,8.625754049
GSM2810702,7.175461459,8.731426796,6.693538007,8.189313362,8.018487449,8.783856373,7.827706563,7.210611703,10.35127157,9.077640866
GSM2810703,5.900260303,7.929647292,9.495612974,6.825481786,7.449990268,10.52716517,7.354661652,9.273725331,9.18463499,8.392470793
GSM2810704,8.609483616,8.759171752,6.540910893,8.512024644,7.17146388,9.375945443,7.860239974,6.860837128,9.892146393,9.238979607
GSM2810705,6.756565594,8.674305292,6.200339547,10.5918947,6.544044377,6.515735977,8.768090283,7.08009561,8.400149139,9.970712929
