outcome	KNG1	FN1	ALB	PLG	IGF1	EGF	HRG	TYROBP	CSF1R	ITGB2
NC	8.349920146	7.055897415	9.282973618	10.00432118	8.73782724	7.920605198	8.227570277	6.214297808	7.2646292	6.567858055
NC	9.023844677	7.474481622	9.729772191	10.24233169	8.659901503	8.366927424	7.970495976	6.61329634	6.889328146	6.302939249
NC	9.042735783	7.353462007	10.67135596	10.21227358	8.527003012	8.159815875	7.892792594	6.793505101	7.187702869	6.741575326
NC	7.282625078	7.82053819	5.535124544	7.629436905	9.25728517	6.395126944	6.670470077	7.410325331	7.894961578	6.784147731
NC	8.227424453	8.094272802	8.297751592	7.886982801	7.93328083	7.345129404	6.544261148	10.22870676	8.383017991	9.133426201
NC	8.199568578	7.837327225	8.225573398	8.816488654	8.574253329	7.567390762	7.945109831	7.568733754	8.138166393	7.004889627
NC	7.805430279	7.692936029	9.86501258	11.97362905	9.034815023	6.936479665	7.703791299	9.772746964	9.08012502	8.375813663
NC	9.624600403	7.774168038	10.6442458	9.555328804	8.558440571	9.126658753	8.361135281	7.591233306	8.214531878	7.205458555
NC	9.413247265	8.193291452	10.53249753	11.27050516	9.501104289	8.409910842	8.792690782	7.713863559	8.358435463	7.197902001
NC	9.404408044	7.781278557	9.791198125	10.07523068	9.899971555	9.413207261	8.676090046	7.015585342	7.595200495	6.975222649
NC	9.34840539	7.526547821	9.721563783	10.46338302	9.396431244	8.289230009	9.274552034	7.254536615	8.100405675	7.131260731
NC	9.534008949	7.421232509	11.03823675	10.99834018	9.722737472	9.227209465	8.781171331	6.854472682	8.006716238	6.389317471
IgAN	8.956490993	7.884053451	8.013219812	11.39915813	7.566239392	7.441433417	8.429764458	7.323397208	7.289734229	6.175430521
IgAN	6.852847017	7.576240774	6.423919855	9.548420242	8.930081324	6.3797952	7.206739918	8.986576638	8.284229087	7.393245958
IgAN	5.687347695	7.055505835	4.472666029	6.057491019	7.815025464	6.457129665	6.068074452	10.31096066	9.904385034	9.629655771
IgAN	5.526604327	8.157287588	6.023732508	7.076704448	7.273420149	6.606172214	6.297331933	8.962490342	8.745750314	8.433949647
IgAN	6.84570411	7.505280037	5.320562789	8.585239354	7.295975878	6.324069854	6.958302269	7.997788329	7.671063612	6.867452364
IgAN	5.589196697	8.466102874	4.602668651	6.29755798	7.754811685	5.510481501	6.245024276	11.11605529	8.351476114	9.900670369
IgAN	9.226267361	9.838454637	4.374549523	5.591451084	6.874977981	6.790655584	7.178142668	8.97201696	9.149493614	8.70948106
IgAN	7.776137133	8.234226218	7.891578378	9.118250116	7.032688184	6.614812916	7.456851666	7.793799179	7.569837127	6.831983186
IgAN	5.46428353	10.51153385	4.310794648	6.201920048	6.57413604	5.739763169	6.50542378	10.30864922	10.09279816	9.745587706
IgAN	6.931242137	8.105716623	6.564969273	8.16105254	7.708904344	6.668576899	6.638458303	9.333399389	9.144871022	8.673320129
IgAN	8.54601069	7.315642123	8.046514785	9.27107222	7.849603631	7.013108648	7.275981422	8.557681096	8.007137066	7.997739676
IgAN	8.896910093	9.223612437	7.189075104	11.23659905	7.842006743	7.729742639	7.345362307	9.065643853	8.988470174	8.920976531
IgAN	5.723429996	9.59452635	5.74691244	6.405090385	6.981805556	5.440712891	6.24400981	8.693189069	8.454588892	7.891539441
IgAN	8.183188655	8.253676499	7.918718824	8.882052076	7.02041847	8.086268993	6.871186517	8.758347166	8.445765517	7.738186048
IgAN	6.159222943	8.411090248	6.864616283	7.935346745	7.782740361	6.426271456	6.596409199	8.921441001	8.468652099	8.300809375
IgAN	8.358529379	9.962154622	6.529385798	9.168164476	6.977000047	7.25537506	6.772121243	10.95300363	10.15865143	9.23625273
